OBJECTID,Name of geographic unit,"# Housing units with a mortgage, costs as a percentage of income computed, 2010 -- 2020 geography","# Housing units with a mortgage, costs as a percentage of income computed, 2010 -- 2020 geography (MOE)","# Housing units with a mortgage, costs 30.0 percent of income or more, 2010 -- 2020 geography","# Housing units with a mortgage, costs 30.0 percent of income or more, 2010 -- 2020 geography (MOE)","% Housing units with a mortgage, costs 30.0 percent of income or more, 2010 -- 2020 geography","% Housing units with a mortgage, costs 30.0 percent of income or more, 2010 -- 2020 geography (MOE)","# Housing units without a mortgage, costs as a percentage of income computed, 2010 -- 2020 geography","# Housing units without a mortgage, costs as a percentage of income computed, 2010 -- 2020 geography (MOE)","# Housing units without a mortgage, costs 30.0 percent of income or more, 2010 -- 2020 geography","# Housing units without a mortgage, costs 30.0 percent of income or more, 2010 -- 2020 geography (MOE)","% Housing units without a mortgage, costs 30.0 percent of income or more, 2010 -- 2020 geography","% Housing units without a mortgage, costs 30.0 percent of income or more, 2010 -- 2020 geography (MOE)","# Owner-occupied housing units, costs as a percentage of income computed, 2010 -- 2020 geography","# Owner-occupied housing units, costs as a percentage of income computed, 2010 -- 2020 geography (MOE)","# Owner-occupied housing units, costs 30.0 percent of income or more, 2010 -- 2020 geography","# Owner-occupied housing units, costs 30.0 percent of income or more, 2010 -- 2020 geography (MOE)","% Owner-occupied housing units, costs 30.0 percent of income or more, 2010 -- 2020 geography","% Owner-occupied housing units, costs 30.0 percent of income or more, 2010 -- 2020 geography (MOE)","# Occupied units for which rent as a percentage of income can be computed, 2010 -- 2020 geography","# Occupied units for which rent as a percentage of income can be computed, 2010 -- 2020 geography (MOE)","# Gross rent 30.0 percent of income or greater, 2010 -- 2020 geography","# Gross rent 30.0 percent of income or greater, 2010 -- 2020 geography (MOE)","% Gross rent 30.0 percent of income or greater, 2010 -- 2020 geography","% Gross rent 30.0 percent of income or greater, 2010 -- 2020 geography (MOE)","# All occupied units for which costs exceed 30 percent of income, 2010 -- 2020 geography","# All occupied units for which costs exceed 30 percent of income, 2010 -- 2020 geography (MOE)","# Total households paying for housing (rent or owner costs), 2010 -- 2020 geography","# Total households paying for housing (rent or owner costs), 2010 -- 2020 geography (MOE)","% Occupied units for which costs exceed 30 percent of income, 2010 -- 2020 geography","% Occupied units for which costs exceed 30 percent of income, 2010 -- 2020 geography (MOE)","Change, # Housing units with a mortgage, costs as a percentage of income computed, 2010-21","Significance flag, change, # Housing units with a mortgage, costs as a percentage of income computed, 2010-21","Change, # Housing units with a mortgage, costs 30.0 percent of income or more, 2010-21","Significance flag, change, # Housing units with a mortgage, costs 30.0 percent of income or more, 2010-21","Change, % Housing units with a mortgage, costs 30.0 percent of income or more, 2010-21","Significance flag, change, % Housing units with a mortgage, costs 30.0 percent of income or more, 2010-21","Change, # Housing units without a mortgage, costs as a percentage of income computed, 2010-21","Significance flag, change, # Housing units without a mortgage, costs as a percentage of income computed, 2010-21","Change, # Housing units without a mortgage, costs 30.0 percent of income or more, 2010-21","Significance flag, change, # Housing units without a mortgage, costs 30.0 percent of income or more, 2010-21","Change, % Housing units without a mortgage, costs 30.0 percent of income or more, 2010-21","Significance flag, change, % Housing units without a mortgage, costs 30.0 percent of income or more, 2010-21","Change, # Owner-occupied housing units, costs as a percentage of income computed, 2010-21","Significance flag, change, # Owner-occupied housing units, costs as a percentage of income computed, 2010-21","Change, # Owner-occupied housing units, costs 30.0 percent of income or more, 2010-21","Significance flag, change, # Owner-occupied housing units, costs 30.0 percent of income or more, 2010-21","Change, % Owner-occupied housing units, costs 30.0 percent of income or more, 2010-21","Significance flag, change, % Owner-occupied housing units, costs 30.0 percent of income or more, 2010-21","Change, # Occupied units for which rent as a percentage of income can be computed, 2010-21","Significance flag, change, # Occupied units for which rent as a percentage of income can be computed, 2010-21","Change, # Gross rent 30.0 percent of income or greater, 2010-21","Significance flag, change, # Gross rent 30.0 percent of income or greater, 2010-21","Change, % Gross rent 30.0 percent of income or greater, 2010-21","Significance flag, change, % Gross rent 30.0 percent of income or greater, 2010-21","Change, # All occupied units for which costs exceed 30 percent of income, 2010-21","Significance flag, change, # All occupied units for which costs exceed 30 percent of income, 2010-21","Change, # Total households paying for housing (rent or owner costs), 2010-21","Significance flag, change, # Total households paying for housing (rent or owner costs), 2010-21","Change, % Occupied units for which costs exceed 30 percent of income, 2010-21","Significance flag, change, % Occupied units for which costs exceed 30 percent of income, 2010-21"
38,NSA G03,322,164,156,76,48.4,34.2,220,193,43,174,19.8,77.1,542,254,199,190,36.8,30.5,937,209,678,171,72.4,8.4,878,255,1479,329,59.3,11.1,218,0,-64,0,-31.3,0,-37,0,-18,0,-5.7,0,181,0,-82,0,-20.5,0,528,1,-31,0,-28.2,1,-113,0,709,1,-24.4,1
39,NSA H01,267,310,177,204,66.2,108.4,310,236,94,174,30.3,51.3,576,390,270,268,46.9,34,920,277,682,190,74.1,30.4,952,328,1496,478,63.6,8.2,-88,0,-87,0,-15.9,0,73,0,-52,0,-19.3,0,-16,0,-139,0,-23.4,0,-146,0,-191,0,-10.8,0,-330,0,-161,0,-17,1
40,NSA H02,133,203,54,170,40.6,112.5,146,172,26,135,17.9,90.4,278,266,80,218,28.7,73.2,483,199,355,151,73.5,8.2,435,265,761,332,57.2,24.3,-33,0,-24,0,-10.1,0,8,0,-10,0,-7.5,0,-25,0,-34,0,-10.5,0,87,0,-65,0,-22.6,1,-99,0,62,0,-16.3,0
41,NSA H03,569,257,288,153,50.6,14.3,213,244,61,177,28.6,76.5,782,354,349,234,44.6,22.1,697,248,491,182,70.5,7.5,840,297,1479,432,56.8,11.3,-97,0,-164,0,-24.3,1,105,0,-52,0,-25.9,0,7,0,-216,0,-27.8,0,151,0,-13,0,-14.1,1,-230,0,159,0,-19.5,1
42,NSA H04,699,212,365,127,52.2,9,227,238,68,188,29.8,77,925,319,432,227,46.7,18.6,766,262,639,190,83.4,37.8,1071,296,1692,413,63.3,8.2,-235,0,-267,1,-31.1,1,18,0,-63,0,-27.7,0,-216,0,-329,1,-32.2,1,430,1,-76,0,-36.3,0,-405,0,214,0,-28.3,1
43,NSA I01,337,272,238,153,70.8,73.1,247,213,46,187,18.8,73.8,583,345,285,241,48.8,29.6,529,335,382,194,72.1,58.5,666,310,1113,481,59.9,10.2,130,0,-104,0,-42,0,9,0,-45,0,-18.1,0,139,0,-149,0,-30,0,-11,0,-59,0,-9.8,0,-208,0,128,0,-22.9,1
44,NSA I02,616,162,300,118,48.7,14.2,296,153,83,113,28.1,35.2,913,223,383,163,42,14.6,164,188,107,121,65.1,104.8,490,203,1077,291,45.5,14.3,-15,0,-107,0,-16.7,0,56,0,-64,0,-22.5,0,41,0,-171,0,-19.7,0,184,0,23,0,-27.9,0,-148,0,225,0,-19.3,0
45,NSA I03,647,197,373,129,57.7,9.4,347,162,95,126,27.3,33.9,994,255,468,180,47.1,13.5,1045,301,752,228,71.9,6.9,1220,291,2040,395,59.8,8.3,-103,0,-209,1,-27.5,1,3,0,-80,0,-23.2,0,-100,0,-290,1,-27.1,1,217,0,-70,0,-17.9,1,-360,0,117,0,-19.9,1
46,NSA I04,937,252,412,141,44,9.3,614,217,135,155,22,24,1551,332,547,210,35.2,11.2,666,208,376,156,56.4,15.3,923,261,2217,392,41.6,9.2,-199,0,-139,0,-7,0,-45,0,-103,0,-16.4,0,-243,0,-242,0,-12,0,621,1,305,1,-3.5,0,63,0,377,0,-3.6,0
47,NSA I05,346,295,181,195,52.4,34.4,231,273,60,198,26.1,79.9,576,402,241,278,41.8,38.3,1099,283,708,216,64.4,10.6,949,352,1675,492,56.6,12.8,-91,0,-104,0,-22.2,0,8,0,-46,0,-20.3,0,-83,0,-151,0,-23.5,0,-9,0,-102,0,-8.9,0,-253,0,-92,0,-12.7,0
48,NSA J01,165,192,68,127,41.2,60.3,242,137,76,54,31.3,13.7,406,236,144,138,35.3,27.1,559,205,343,148,61.3,14,486,203,965,313,50.4,13.2,-51,0,-27,0,-5.5,0,-21,0,-51,0,-20.3,1,-72,0,-79,0,-15.9,0,118,0,119,0,6.9,0,41,0,46,0,1.7,0
49,NSA J02,417,252,272,152,65.3,53.8,347,206,109,164,31.5,43.3,764,326,381,224,49.9,20.1,1210,272,812,192,67.1,4.8,1193,294,1974,424,60.4,7.3,-152,0,-207,0,-40.9,0,39,0,-45,0,-14.8,0,-113,0,-252,0,-30.1,1,-234,0,-108,0,5.1,0,-360,0,-347,0,-9.2,0
50,NSA J03,324,299,198,195,61,21.3,312,156,122,124,38.9,34.4,637,337,319,231,50.1,24.7,825,279,549,161,66.5,29.8,868,281,1461,437,59.4,7.4,-97,0,-114,0,-24.1,0,-1,0,-49,0,-15.5,0,-98,0,-163,0,-21.1,0,-300,0,-187,0,2.4,0,-350,0,-398,0,-10.7,1
51,NSA K01,496,191,203,132,40.9,21.5,269,264,69,231,25.6,81.9,765,326,272,266,35.5,31.3,771,293,538,166,69.8,34.1,809,313,1536,438,52.7,13.8,-110,0,-116,0,-18.5,0,84,0,1,0,-5.9,0,-26,0,-116,0,-14.4,0,100,0,-43,0,-13,0,-159,0,74,0,-12.3,0
52,NSA K02,298,236,151,155,50.7,33,117,343,40,237,33.7,176.3,415,417,190,283,45.9,50.3,733,269,496,173,67.7,34.3,687,332,1148,496,59.8,13,-52,0,-92,0,-26.6,0,55,0,-3,0,-12.6,0,3,0,-95,0,-23,0,53,0,-10,0,-5.8,0,-105,0,56,0,-11.4,0
53,NSA K03,140,195,97,61,69.6,106.5,49,289,20,183,40.4,286.7,189,348,117,193,62,153.3,48,317,12,223,25.5,432.2,129,295,237,471,54.6,61.1,67,0,-69,0,-56.1,0,-1,0,-8,0,-16.4,0,66,0,-78,0,-46.5,0,34,0,31,0,26.8,0,-47,0,100,0,-30.1,0
54,NSA L01,131,466,78,304,59.5,95.5,40,512,9,350,22.5,824.9,171,692,87,463,50.9,176.1,976,353,743,248,76.1,37.4,830,525,1147,777,72.4,67.1,29,0,-51,0,-42.7,0,13,0,-9,0,-22.5,0,42,0,-60,0,-38.2,0,396,0,156,0,-10.6,0,96,0,438,0,-13.9,0
55,NSA L02,128,340,79,215,61.9,33.1,48,424,35,264,73,844.3,176,543,114,340,64.9,278.2,1118,253,742,199,66.3,9.6,856,394,1294,599,66.2,43.2,-34,0,-20,0,0.8,0,78,0,52,0,-4.1,0,45,0,32,0,1.3,0,-292,0,-305,1,-13.5,0,-273,0,-247,0,-10.5,0
56,NSA M01,856,505,306,346,35.7,34.6,156,773,31,545,20.1,334.4,1013,924,337,646,33.3,56.1,3626,490,1947,353,53.7,6.5,2284,736,4638,1046,49.3,11.4,1018,1,139,0,-12,0,278,0,16,0,-9.2,0,1296,0,155,0,-12,0,1254,1,770,1,2,0,925,0,2549,1,-4.6,0
57,NSA M02,1729,373,703,245,40.7,11.2,209,665,56,472,26.8,208.9,1938,763,759,532,39.2,22.7,4063,462,1858,293,45.7,5,2617,607,6001,892,43.6,7.8,585,1,95,0,-6.2,0,375,0,-4,0,-17.8,0,959,0,91,0,-9.8,0,2252,1,277,0,-11.9,1,368,0,3211,1,-11.2,1
58,NSA N01,796,339,372,216,46.7,18.5,151,408,12,329,7.6,216.9,947,530,383,394,40.5,34.9,922,345,496,244,53.7,17.1,879,463,1869,633,47,19,387,0,-182,0,-30.7,1,140,0,-11,0,-7.4,0,527,0,-193,0,-27.6,0,682,1,19,0,-21.7,0,-173,0,1210,1,-24.1,0
59,NSA N02,1329,223,455,126,34.2,7.5,226,466,113,339,50,109.1,1555,516,568,362,36.5,19.8,1664,292,572,172,34.4,8.4,1140,400,3219,593,35.4,10.6,48,0,-187,1,-14.8,1,-10,0,-105,0,-46.1,0,39,0,-292,0,-19.2,0,1102,1,223,0,-5.6,0,-68,0,1141,1,-10.8,0
60,NSA N03,1318,243,476,171,36.1,11.2,218,398,27,311,12.4,140.9,1536,466,503,355,32.8,20.9,839,304,374,230,44.6,22.2,877,423,2375,557,36.9,15.6,12,0,-164,0,-12.7,0,231,0,-10,0,-8.5,0,244,0,-174,0,-14.3,0,-277,0,-212,0,-15.7,0,-386,0,-33,0,-16,0
61,NSA N04,780,150,203,83,26,9.5,90,285,0,229,0,255.3,870,322,203,244,23.3,26.7,274,193,116,131,42.4,37.4,319,277,1144,375,27.9,22.4,-28,0,-52,0,-5.9,0,193,0,13,0,4.6,0,165,0,-39,0,-7.5,0,-135,0,-66,0,-6.5,0,-105,0,30,0,-9.7,0
62,NSA O01,898,192,444,141,49.4,11.7,227,177,79,158,34.8,64,1125,261,523,212,46.5,15.5,680,239,393,145,57.8,6.6,916,257,1805,354,50.7,10.2,423,1,-207,1,-31.5,1,7,0,-10,0,-5.3,0,429,1,-217,0,-26.8,1,-258,0,-230,1,-19.3,1,-447,1,172,0,-27,1
63,NSA O02,1356,249,650,188,47.9,10.7,336,312,76,258,22.5,73.9,1692,399,725,319,42.9,15.9,760,359,383,236,50.4,19.9,1108,397,2452,537,45.2,12.8,111,0,-341,1,-26.9,1,-20,0,-22,0,-5.6,0,91,0,-364,0,-22.6,1,292,0,123,0,-2.4,0,-241,0,383,0,-14.6,0
64,NSA O03,750,236,237,151,31.7,17.5,218,367,39,278,17.9,123.6,968,436,276,316,28.6,30,759,271,331,183,43.6,18.4,607,365,1727,514,35.2,18.4,322,0,12,0,-8.4,0,-8,0,-5,0,-1.8,0,314,0,7,0,-6.5,0,118,0,144,0,10.6,0,151,0,432,0,-0.1,0
65,NSA P01,701,191,324,123,46.2,12.3,144,201,26,151,18.3,101.5,846,277,351,195,41.5,18.6,592,235,290,163,49,19.5,640,254,1438,363,44.5,13.6,32,0,-126,0,-19.2,1,171,0,-4,0,-11.3,0,203,0,-130,0,-20.4,0,381,1,288,1,10.4,0,158,0,584,1,-5.1,0
66,NSA P02,365,137,145,83,39.7,17.1,82,197,0,168,0,205.2,447,240,145,187,32.5,38.1,628,229,304,165,48.4,19.4,449,250,1076,332,41.8,19.3,294,1,-20,0,-20.8,0,28,0,0,0,0,0,322,0,-20,0,-16.2,0,125,0,29,0,-4.2,0,8,0,447,0,-11.7,0
67,NSA P03,402,187,161,108,40.1,19.5,189,203,58,112,30.8,49,591,275,219,156,37.1,19.9,260,170,157,103,60.6,2.8,377,187,850,324,44.3,14.1,-116,0,-56,0,-3.4,0,-81,0,-51,0,-23.7,0,-197,0,-107,0,-8.5,0,37,0,40,0,5.9,1,-67,0,-161,0,0.6,0
68,NSA P04,606,203,242,125,39.9,15.7,210,204,56,115,26.6,48.2,816,288,298,170,36.5,16.3,354,194,198,118,55.9,13,496,207,1170,347,42.4,12.4,-242,0,-96,0,0.1,0,-50,0,-34,0,-13,0,-292,0,-131,0,-4.6,0,416,1,214,1,-2.4,0,83,0,123,0,2.4,0
69,NSA P05,576,165,228,112,39.7,15.8,121,136,20,82,16.3,65.2,696,214,248,139,35.6,16.7,297,172,147,104,49.4,20.4,395,174,993,274,39.8,13.6,-193,0,-105,0,-7.4,0,23,0,3,0,-0.8,0,-170,0,-102,0,-7.9,0,446,1,258,1,5,0,155,0,276,0,3.6,0
70,NSA P06,237,110,94,67,39.7,21.2,53,159,0,135,0,255.1,290,193,94,151,32.5,47.4,407,185,197,133,48.4,24.1,291,201,696,267,41.8,24,57,0,-25,0,-16.3,0,62,0,0,0,0,0,119,0,-25,0,-15.7,0,431,1,137,0,-8.5,0,112,0,550,1,-9.5,0
71,NSA Q01,377,137,175,94,46.4,18.3,93,138,25,95,26.5,95,470,194,200,134,42.5,22.4,258,151,156,99,60.5,14.1,356,166,728,246,48.9,15.7,-39,0,-116,0,-28.8,1,22,0,0,0,-5.4,0,-17,0,-116,0,-24,0,-131,0,-32,0,36.9,1,-148,0,-148,0,-13.1,0
72,NSA R01,254,360,147,243,57.7,49.4,100,446,31,287,31.4,249.7,354,574,178,376,50.3,67.9,2430,380,1397,287,57.5,7.6,1575,473,2785,688,56.6,9.6,-166,0,-116,0,-23.1,0,42,0,-9,0,-15.9,0,-125,0,-126,0,-27.5,0,330,0,429,1,8.7,0,304,0,206,0,6.3,0
73,NSA R02,912,199,433,130,47.5,9.8,328,328,57,279,17.4,83.4,1240,384,490,308,39.5,21.6,784,278,500,199,63.7,11.6,989,367,2024,474,48.9,14.1,450,1,-5,0,-16,1,-10,0,-40,0,-11.9,0,440,0,-44,0,-13,0,492,1,270,0,-3.4,0,226,0,932,1,-7.8,0
74,NSA R03,276,291,155,153,56.2,81.2,185,282,14,230,7.6,123.7,461,405,169,276,36.7,50.5,1318,270,805,212,61.1,10.1,974,348,1779,487,54.7,12.6,87,0,-101,0,-41.3,0,29,0,1,0,-0.6,0,116,0,-100,0,-24.7,0,97,0,116,0,4,0,16,0,213,0,-5.1,0
75,NSA S01,346,362,243,219,70.1,96.8,278,400,92,293,33.2,94,624,539,335,366,53.7,35.8,524,389,388,258,74,73.7,723,447,1148,665,63,13.8,126,0,-85,0,-36.6,0,19,0,34,0,9.2,0,145,0,-51,0,-16.7,0,114,0,24,0,-9.4,0,-27,0,259,0,-13.5,0
76,NSA S02,559,233,307,166,54.8,19.1,311,306,58,205,18.7,63.5,870,385,365,264,41.9,24.1,772,273,442,187,57.2,13.2,807,324,1642,472,49.1,13.8,125,0,-136,0,-29.9,1,-31,0,-48,0,-14.9,0,94,0,-183,0,-23.1,0,132,0,230,0,17.2,0,47,0,226,0,-3.4,0
77,NSA S03,312,155,207,103,66.4,2.4,269,151,82,110,30.5,37.2,581,216,289,151,49.8,18.2,207,217,124,130,60.1,3.7,414,200,788,306,52.5,15,16,0,-103,0,-34.7,1,-36,0,1,0,5.2,0,-20,0,-102,0,-16.4,0,146,0,138,0,14.4,1,36,0,125,0,-3.2,0
78,NSA T01,139,306,93,72,66.9,155.8,118,331,26,266,22,215.8,258,451,119,275,46.2,69.6,594,311,425,189,71.6,49.3,545,334,851,548,64,56.9,111,0,0,0,-29.6,0,-26,0,-26,0,-22,0,85,0,-26,0,-19,0,119,0,-51,0,-19.1,0,-77,0,204,0,-19.6,0
79,NSA T02,213,471,121,301,57.1,63.7,19,577,0,409,0,2140.2,232,744,121,507,52.3,140.4,917,413,611,262,66.7,41.4,732,571,1148,851,63.8,15.4,36,0,-98,0,-47.5,0,27,0,16,0,35.5,0,63,0,-81,0,-38.7,0,-160,0,-215,0,-14.4,0,-297,0,-97,0,-22.3,1
80,NSA T03,393,214,206,148,52.3,24.5,214,202,112,151,52.2,50.8,608,294,318,212,52.3,23.9,524,211,399,133,76.2,39.8,717,250,1132,362,63.3,8.8,17,0,-100,0,-26.4,0,45,0,-84,0,-41.3,0,62,0,-183,0,-32.2,0,132,0,5,0,-14.5,0,-178,0,194,0,-22.7,1
81,NSA T04,301,340,166,162,55.4,82.7,185,381,57,293,30.5,145,486,511,223,335,45.9,49.2,1178,360,720,198,61.1,25.2,943,389,1664,625,56.7,9.7,452,0,74,0,-23.4,0,63,0,-36,0,-22.2,0,515,0,38,0,-19.8,0,98,0,-29,0,-7,0,9,0,613,0,-14.9,1
82,NSA V01,410,392,122,289,29.7,64.5,108,455,35,328,32.1,270.7,518,601,157,437,30.2,76.7,494,348,267,241,54,30.5,423,499,1013,694,41.8,40.1,-53,0,-21,0,-1.5,0,-20,0,-1,0,5.8,0,-73,0,-23,0,-0.1,0,743,1,220,0,-14.6,0,197,0,670,0,-4.9,0
83,NSA V02,404,458,284,216,70.3,96,169,533,73,377,43.2,176.7,573,703,357,435,62.3,107.7,923,381,671,168,72.7,35.1,1028,466,1496,799,68.7,48.2,120,0,-81,0,-31.6,0,67,0,-21,0,-21.2,0,187,0,-102,0,-28.8,0,199,0,-59,0,-18.2,0,-161,0,386,0,-22.6,0
84,NSA V03,323,227,82,171,25.3,49.7,119,279,47,196,39.5,136.5,442,359,129,260,29.1,53.8,505,189,343,171,67.9,22.2,472,311,947,406,49.8,24.9,-41,0,-22,0,-4.2,0,-14,0,-13,0,-7.2,0,-54,0,-35,0,-5,0,290,1,147,0,-6.3,0,112,0,235,0,-0.5,0
85,NSA V04,230,366,89,238,38.7,83.3,47,441,8,297,17,609.9,277,573,97,381,35,116.7,733,286,440,154,60,31.4,537,411,1010,641,53.1,22.8,-53,0,-12,0,4.8,0,14,0,17,0,23.1,0,-38,0,5,0,7.6,0,1171,1,681,1,-1.1,0,686,1,1133,1,3.9,0
86,NSA W01,1846,292,776,192,42.1,8,328,456,40,372,12.2,112,2174,541,817,418,37.6,16.8,901,326,419,221,46.5,17.9,1235,473,3075,631,40.2,13,89,0,-281,1,-16.5,1,76,0,57,0,11.9,0,164,0,-224,0,-12.2,0,700,1,311,0,-0.9,0,88,0,864,0,-6.6,0
87,NSA W02,614,165,306,124,49.8,15,190,276,32,234,16.8,120.5,805,322,338,265,42,28.3,578,193,271,137,46.9,17.8,609,298,1383,375,44,17.9,93,0,-205,1,-35.6,1,78,0,36,0,8.4,0,171,0,-170,0,-24.7,0,-33,0,21,0,6.6,0,-149,0,138,0,-13.8,0
88,NSA W03,1119,187,335,110,29.9,8.5,151,275,52,195,34.6,112.2,1270,333,387,224,30.5,15.7,490,141,289,113,59,15.6,676,251,1760,362,38.4,11.9,161,0,-94,0,-11.1,0,229,0,9,0,-18.5,0,390,0,-85,0,-12.3,0,-134,0,-162,1,-23.4,1,-247,0,256,0,-17.1,1
89,NSA W04,1162,246,504,167,43.4,11,649,237,247,135,38,15.5,1812,342,751,215,41.5,8.9,614,267,308,224,50.1,29.3,1059,310,2426,434,43.6,10.1,345,0,-216,0,-24.2,1,-360,1,-177,0,-13.7,0,-15,0,-393,1,-21.5,1,98,0,0,0,-6.9,0,-393,0,82,0,-17.1,1
90,NSA X01,519,160,201,89,38.7,12.4,153,198,63,146,41.3,79.1,672,254,264,171,39.3,20.7,362,146,196,87,54.1,9.9,460,192,1033,294,44.5,13.6,-115,0,-136,1,-22.6,1,206,0,51,0,-9.3,0,91,0,-84,0,-15.8,0,6,0,55,0,14.1,1,-30,0,97,0,-6.4,0
91,NSA X02,171,231,51,143,29.7,73.3,82,227,22,159,26.3,179.7,253,324,72,214,28.6,76.1,728,208,495,136,68,27,567,254,981,385,57.9,12.3,11,0,0,0,-2,0,10,0,-20,0,-24.6,0,21,0,-20,0,-9.6,0,-69,0,-83,0,-5.4,0,-103,0,-48,0,-8.1,0
92,NSA X03,56,295,41,211,73.9,541.4,96,246,14,169,14.4,172.6,152,385,55,270,36.4,152.2,820,234,510,157,62.2,6.9,565,312,972,451,58.2,17.5,71,0,-32,0,-66.8,0,-19,0,-6,0,-4.8,0,53,0,-39,0,-28.3,0,-143,0,-194,0,-15.6,1,-233,0,-90,0,-20.5,0
93,NSA X04,653,295,274,190,42,22.1,190,381,48,295,25.5,146.4,843,482,323,351,38.3,35.4,949,284,602,149,63.5,24.7,925,381,1792,560,51.6,13.9,-81,0,-151,0,-20.4,0,128,0,31,0,-0.6,0,48,0,-120,0,-15.5,0,-110,0,-56,0,1.6,0,-176,0,-62,0,-8.3,0
94,NSA X05,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0
95,NSA Y01,58,538,35,359,59.9,270.1,49,539,1,380,1.3,772.5,107,762,36,522,33.1,426.3,459,500,299,344,65.1,24.4,334,626,567,911,59,56.4,80,0,0,0,-34.4,0,12,0,25,0,40.5,0,92,0,25,0,-2.6,0,-211,0,-150,0,-5.1,0,-125,0,-119,0,-12.2,0
96,NSA Y02,327,113,172,81,52.5,17,81,213,11,178,14.1,216,409,241,183,196,44.8,40,361,154,228,84,63.3,35.6,412,213,769,286,53.5,19.3,-93,0,-128,1,-33.9,1,7,0,46,0,50.8,0,-86,0,-82,0,-13.6,0,407,1,352,1,12.3,0,270,0,321,0,9,0
97,NSA Y03,210,295,90,225,42.7,88.8,91,308,9,235,10,255.7,301,426,99,325,32.8,97.5,630,253,445,195,70.5,12.5,543,379,932,496,58.3,26.4,25,0,-49,0,-25.3,0,14,0,23,0,20.9,0,39,0,-26,0,-11.3,0,285,0,96,0,-11.5,0,70,0,324,0,-9.5,0
98,NSA Y04,234,153,132,100,56.6,21.3,75,200,11,167,15.4,219.7,308,252,144,195,46.6,50.3,287,175,200,90,69.5,52.6,343,214,596,307,57.6,20.3,7,0,-82,0,-35.9,1,53,0,48,0,31.4,0,60,0,-34,0,-16.8,0,37,0,-47,0,-22.3,0,-81,0,97,0,-19.7,0
99,NSA Z01,353,275,217,174,61.3,12.7,183,247,50,210,27.2,108.7,536,369,266,273,49.7,37.6,676,291,413,170,61.1,36.3,680,321,1212,470,56.1,15.2,-56,0,-115,0,-27.2,1,144,0,31,0,-2.5,0,88,0,-84,0,-20.5,0,65,0,4,0,-4.8,0,-80,0,153,0,-12.1,0
100,NSA Z02,151,341,92,218,60.6,45.8,134,343,26,279,19.3,202.5,285,484,118,354,41.2,102.5,548,361,393,213,71.7,61.2,511,413,833,603,61.3,22.1,-70,0,-47,0,-5.9,0,-16,0,-9,0,-4.9,0,-86,0,-56,0,-10.3,0,62,0,52,0,1.2,0,-4,0,-23,0,1.3,0
101,NSA Z03,481,196,241,100,50.1,4.1,284,224,93,171,32.7,54.4,765,298,334,198,43.7,19.5,1419,321,829,233,58.4,9.7,1163,306,2183,438,53.3,9,-192,0,-159,1,-21.6,1,38,0,-84,0,-29.9,0,-154,0,-243,0,-28.7,1,411,0,80,0,-8.8,0,-163,0,257,0,-12.3,0
102,NSA Z04,498,154,236,97,47.4,12.9,158,164,49,88,31.2,45,656,225,285,131,43.5,13.2,558,190,344,134,61.7,11.5,630,187,1214,295,51.9,8.9,-225,1,-118,0,-3.9,0,107,0,26,0,-2.8,0,-118,0,-92,0,-7.5,0,244,0,155,0,0.6,0,63,0,126,0,-0.1,0
103,NSA Z05,295,172,201,98,68.2,51.8,95,249,41,178,42.6,149.8,391,303,242,203,62,19.9,443,278,260,198,58.7,25.2,502,283,834,411,60.2,16.5,-198,0,-162,1,-28,0,230,0,-9,0,-32.8,0,32,0,-171,0,-45.1,1,3,0,-11,0,-2.9,0,-182,0,35,0,-23.4,1
